AGE,MEAN
1200,-0.850710970013201
1210,-0.858789583117912
1220,-0.866996394094483
1230,-0.875306159978263
1240,-0.883688995165642
1250,-0.891112619560392
1260,-0.896966688058164
1270,-0.901294437514175
1280,-0.904139104783645
1290,-0.9055439267218
1300,-0.90555214018385
1310,-0.904206982025024
1320,-0.901551689100537
1330,-0.897629498265611
1340,-0.892483646375467
1350,-0.886157370285323
1360,-0.878693906850397
1370,-0.870136492925912
1380,-0.860528365367088
1390,-0.849912761029145
1400,-0.838332916767302
1410,-0.825832069436776
1420,-0.812453455892794
1430,-0.798240312990569
1440,-0.783235877585328
1450,-0.766935228600537
1460,-0.748864105519073
1470,-0.728803701064378
1480,-0.706774288549749
1490,-0.68294259926071
1500,-0.657475364482792
1510,-0.630539315501521
1520,-0.602301183602426
1530,-0.572927700071036
1540,-0.542929555783227
1550,-0.512918924373656
1560,-0.482992805362664
1570,-0.453244409675446
1580,-0.423766948237203
1590,-0.394653631973133
1600,-0.365997671808433
1610,-0.337892278668304
1620,-0.310430663477942
1630,-0.283706037162545
1640,-0.257811610647313
1650,-0.232840594857443
1660,-0.208886200718134
1670,-0.186041639154584
1680,-0.164518867450222
1690,-0.145060176128392
1700,-0.127715503952687
1710,-0.112408999044997
1720,-0.0990648095272135
1730,-0.0876070835212263
1740,-0.0779599691489261
1750,-0.0700476145322038
1760,-0.0637941677929495
1770,-0.059123777053054
1780,-0.055960590434408
1790,-0.0542287560589019
1800,-0.0536676338990498
1810,-0.0533108586072467
1820,-0.052925484749001
1830,-0.0526063812040852
1840,-0.052863695717626
1850,-0.0535675727052498
1860,-0.0545423512839122
1870,-0.055612370570567
1880,-0.0566019696821704
1890,-0.0573354877356767
1900,-0.0576372638480416
1910,-0.0573316371362203
1920,-0.0567459757507557
1930,-0.0563122101695923
1940,-0.056011523000785
1950,-0.055825096852388
1960,-0.0557341143324567
1970,-0.055719758049045
1980,-0.0557632106102094
1990,-0.0558456546240026
2000,-0.0559482726984803
2010,-0.0560522474416977
2020,-0.0561387614617087
2030,-0.056188997366569
2040,-0.0561841377643323
2050,-0.0561053652630543
2060,-0.0559338624707898
2070,-0.0556508119955927
2080,-0.0552373964455184
2090,-0.0546747984286218
2100,-0.0539442005529572
2110,-0.05302678542658
2120,-0.0518426168525563
2130,-0.0500046490811943
2140,-0.0477014024701919
2150,-0.0451299940555295
2160,-0.0413880019936643
2170,-0.0364002710776451
2180,-0.0302594051781689
2190,-0.023058008165933
2200,-0.0148886839116353
2210,-0.00584403628597348
2220,0.00398333084035549
2230,0.0145008135966538
2240,0.0256158081122239
2250,0.0372357105163683
2260,0.0492679169383894
2270,0.0616198235075901
2280,0.0741988263532727
2290,0.0869123216047398
2300,0.0996677053912929
2310,0.112372373842236
2320,0.124933723086871
2330,0.1372591492545
2340,0.149256048474425
2350,0.16083181687595
2360,0.171893850588377
2370,0.182349545741008
2380,0.192106298463146
2390,0.201104541992484
2400,0.209320654478876
2410,0.216734786870377
2420,0.223737158572125
2430,0.230509017483511
2440,0.237067287967993
2450,0.243428894389031
2460,0.249610761110084
2470,0.255632348543931
2480,0.261607580262782
2490,0.267611921341791
2500,0.273674565426068
2510,0.27982470616072
2520,0.286091537190858
2530,0.292504252161589
2540,0.299092044718023
2550,0.305884108505268
2560,0.312909637168433
2570,0.320197824352626
2580,0.327777863702957
2590,0.335678948864534
2600,0.343930273482466
2610,0.352561031201861
2620,0.361561436714298
2630,0.370707866456014
2640,0.379942123983398
2650,0.389242886974405
2660,0.39858883310699
2670,0.407958640059108
2680,0.417330985508713
2690,0.426684547133762
2700,0.435997673371242
2710,0.444893754796547
2720,0.453045865656937
2730,0.460445482706639
2740,0.467084082699876
2750,0.472953142390877
2760,0.478044138533859
2770,0.482348547883057
2780,0.485857847192691
2790,0.488563513216986
2800,0.490457022710169
2810,0.491525471694795
2820,0.491736799250881
2830,0.491085120785809
2840,0.489569237629278
2850,0.487187951110979
2860,0.484236277044156
2870,0.481028048949505
2880,0.477590294717906
2890,0.473950042240243
2900,0.470134319407397
2910,0.46617015411025
2920,0.46208457423968
2930,0.45790460768657
2940,0.453657282341799
2950,0.44936962609625
2960,0.445068666840804
2970,0.440781432466345
2980,0.436534950863748
2990,0.432356249923898
3000,0.428500003805909
3010,0.425440107775999
3020,0.42321019847947
3030,0.421831756886086
3040,0.421326263965604
3050,0.421715200687788
3060,0.4230200480224
3070,0.425262286939199
3080,0.428463398407947
3090,0.432719306515229
3100,0.438485621035027
