"AGE","LocFit","MEAN(of_boot)","0.05","0.95"
380,-0.65258829008024,-0.65258829008024,-0.65258829008024,-0.65258829008024
390,-0.662971000361235,-0.662971000361235,-0.662971000361235,-0.662971000361235
400,-0.674088287350634,-0.674088287350634,-0.674088287350634,-0.674088287350634
410,-0.685925827523873,-0.685925827523873,-0.685925827523873,-0.685925827523873
420,-0.698469297356389,-0.698469297356389,-0.698469297356389,-0.698469297356389
430,-0.711704373323618,-0.711704373323618,-0.711704373323618,-0.711704373323618
440,-0.725616731900999,-0.725616731900998,-0.725616731900998,-0.725616731900998
450,-0.740162893520984,-0.740162893520984,-0.740162893520984,-0.740162893520984
460,-0.754894860302542,-0.754894860302542,-0.754894860302542,-0.754894860302542
470,-0.76963527898239,-0.76963527898239,-0.76963527898239,-0.76963527898239
480,-0.784346037585303,-0.784346037585303,-0.784346037585303,-0.784346037585303
490,-0.798989024136056,-0.798989024136055,-0.798989024136055,-0.798989024136055
500,-0.813526126659421,-0.813526126659421,-0.813526126659421,-0.813526126659421
510,-0.827919233180174,-0.827919233180174,-0.827919233180174,-0.827919233180174
520,-0.84213023172309,-0.84213023172309,-0.84213023172309,-0.84213023172309
530,-0.856121010312941,-0.856121010312941,-0.856121010312941,-0.856121010312941
540,-0.869853456974503,-0.869853456974503,-0.869853456974503,-0.869853456974503
550,-0.88328945973255,-0.88328945973255,-0.88328945973255,-0.88328945973255
560,-0.896390906611856,-0.896390906611856,-0.896390906611856,-0.896390906611856
570,-0.909119685637194,-0.909119685637194,-0.909119685637194,-0.909119685637194
580,-0.921437684833341,-0.921437684833341,-0.921437684833341,-0.921437684833341
590,-0.93330679222507,-0.93330679222507,-0.93330679222507,-0.93330679222507
600,-0.944688895837154,-0.944688895837154,-0.944688895837154,-0.944688895837154
610,-0.955545883694369,-0.955545883694369,-0.955545883694369,-0.955545883694369
620,-0.965839643821489,-0.965839643821489,-0.965839643821489,-0.965839643821489
630,-0.975532064243287,-0.975532064243287,-0.975532064243287,-0.975532064243287
640,-0.984585032984539,-0.984585032984539,-0.984585032984539,-0.984585032984539
650,-0.992960438070018,-0.992960438070018,-0.992960438070018,-0.992960438070018
660,-1.0006201675245,-1.0006201675245,-1.0006201675245,-1.0006201675245
670,-1.00752610937276,-1.00752610937276,-1.00752610937276,-1.00752610937276
680,-1.01364015163956,-1.01364015163956,-1.01364015163956,-1.01364015163956
690,-1.0189241823497,-1.0189241823497,-1.0189241823497,-1.0189241823497
700,-1.02334008952793,-1.02334008952793,-1.02334008952793,-1.02334008952793
710,-1.02684976119903,-1.02684976119903,-1.02684976119903,-1.02684976119903
720,-1.02941508538778,-1.02941508538778,-1.02941508538778,-1.02941508538778
730,-1.03099795011895,-1.03099795011895,-1.03099795011895,-1.03099795011895
740,-1.03156024341732,-1.03156024341732,-1.03156024341732,-1.03156024341732
750,-1.03106385330766,-1.03106385330766,-1.03106385330766,-1.03106385330766
760,-1.02947066781474,-1.02947066781474,-1.02947066781474,-1.02947066781474
770,-1.02674257496334,-1.02674257496334,-1.02674257496334,-1.02674257496334
780,-1.02284146277824,-1.02284146277824,-1.02284146277824,-1.02284146277824
790,-1.01776968136919,-1.01776968136919,-1.01776968136919,-1.01776968136919
800,-1.01168409846488,-1.01168409846488,-1.01168409846488,-1.01168409846488
810,-1.00465623263675,-1.00465623263675,-1.00465623263675,-1.00465623263675
820,-0.996745317646337,-0.996745317646337,-0.996745317646337,-0.996745317646337
830,-0.988010587255192,-0.988010587255192,-0.988010587255192,-0.988010587255192
840,-0.978511275224858,-0.978511275224858,-0.978511275224858,-0.978511275224858
850,-0.96830661531688,-0.96830661531688,-0.96830661531688,-0.96830661531688
860,-0.957455841292802,-0.957455841292802,-0.957455841292802,-0.957455841292802
870,-0.94601818691417,-0.94601818691417,-0.94601818691417,-0.94601818691417
880,-0.934052885942528,-0.934052885942528,-0.934052885942528,-0.934052885942528
890,-0.921619172139421,-0.921619172139421,-0.921619172139421,-0.921619172139421
900,-0.908776279266394,-0.908776279266394,-0.908776279266394,-0.908776279266394
910,-0.895583441084992,-0.895583441084992,-0.895583441084992,-0.895583441084992
920,-0.882099891356758,-0.882099891356759,-0.882099891356759,-0.882099891356759
930,-0.86838486384324,-0.86838486384324,-0.86838486384324,-0.86838486384324
940,-0.85449759230598,-0.85449759230598,-0.85449759230598,-0.85449759230598
950,-0.840497310506524,-0.840497310506524,-0.840497310506524,-0.840497310506524
960,-0.826443252206417,-0.826443252206416,-0.826443252206416,-0.826443252206416
970,-0.812394651167203,-0.812394651167203,-0.812394651167203,-0.812394651167203
980,-0.798410741150427,-0.798410741150427,-0.798410741150427,-0.798410741150427
990,-0.784550755917635,-0.784550755917635,-0.784550755917635,-0.784550755917635
1000,-0.77087392923037,-0.77087392923037,-0.77087392923037,-0.77087392923037
1010,-0.757439494850178,-0.757439494850178,-0.757439494850178,-0.757439494850178
