SampleId;SEEDLE;ObjectId#;ProjArea;StraightLength;CurvedLength;StraightWidth;CurvedWidth;Curvature;VolCircle;VolEllipsoid;VolRectangle;VolConstPerim;SurfAreaCircle;SurfAreaEllipsoid;SurfAreaRectangle;SurfAreaConstPerim;SurfAreaPropPerim;WLRatio;HorizPosition;VertPosition;ProjPerimeter;ProjFormCoeff
99.5;SEEDLE;8;0.0186;0.3782;0.4100;0.0737;0.1092;0.1271;0.0008;0.0001;0.0001;0.0000;0.0570;0.0405;0.0399;0.0004;0.0182;0.1948;4.5212;3.6698;1.1221;0.1853
99.5;SEEDLE;9;0.0395;0.8279;0.8350;0.0616;0.0616;0.0273;0.0016;0.0002;0.0002;0.0000;0.1237;0.0879;0.0866;0.0008;0.0394;0.0744;4.7859;3.0166;1.8338;0.1476
99.5;SEEDLE;10;0.0249;0.2768;0.2994;0.1278;0.1316;0.1099;0.0019;0.0002;0.0002;0.0000;0.0784;0.0557;0.0549;0.0003;0.0250;0.4617;4.7694;1.5423;0.7795;0.5153
99.5;SEEDLE;11;0.0249;0.3345;0.3411;0.0977;0.0960;0.0136;0.0016;0.0002;0.0002;0.0000;0.0782;0.0555;0.0547;0.0003;0.0249;0.2921;4.8543;2.0642;0.8086;0.4777
99.5;SEEDLE;12;0.0164;0.5288;0.5342;0.0404;0.0428;0.0501;0.0004;0.0000;0.0001;0.0000;0.0522;0.0371;0.0366;0.0005;0.0166;0.0763;5.0172;1.5994;1.1652;0.1522
100;SEEDLE;1;0.0540;0.9762;0.9771;0.0865;0.0865;0.0104;0.0024;0.0002;0.0003;0.0000;0.1686;0.1198;0.1181;0.0010;0.0537;0.0886;3.6608;3.6442;2.1896;0.1414
100;SEEDLE;2;0.0287;0.4229;0.4773;0.1444;0.1486;0.0907;0.0019;0.0002;0.0002;0.0000;0.0976;0.0694;0.0684;0.0005;0.0311;0.3414;3.5475;2.5335;1.1197;0.2879
100;SEEDLE;3;0.0143;0.5920;0.5963;0.0319;0.0319;0.0343;0.0003;0.0000;0.0000;0.0000;0.0444;0.0316;0.0311;0.0006;0.0141;0.0538;3.8878;3.2154;1.2645;0.1122
100;SEEDLE;4;0.0084;0.4809;0.4822;0.0227;0.0227;0.0094;0.0001;0.0000;0.0000;0.0000;0.0272;0.0193;0.0190;0.0005;0.0087;0.0471;4.0581;2.9931;1.0367;0.0984
100;SEEDLE;5;0.0500;0.5680;0.5767;0.1341;0.1307;0.0225;0.0039;0.0004;0.0005;0.0000;0.1573;0.1118;0.1102;0.0006;0.0501;0.2361;4.2668;2.2633;1.3707;0.3347
100;SEEDLE;6;0.0080;0.3270;0.3290;0.0331;0.0331;0.0436;0.0002;0.0000;0.0000;0.0000;0.0248;0.0176;0.0174;0.0003;0.0079;0.1011;4.3458;3.5972;0.7044;0.2017
100;SEEDLE;7;0.0730;0.4263;0.4345;0.2498;0.2467;0.0106;0.0109;0.0011;0.0014;0.0000;0.2282;0.1622;0.1598;0.0004;0.0726;0.5859;4.5137;3.9729;1.3289;0.5197
100;SEEDLE;8;0.0331;0.4144;0.4549;0.1159;0.1506;0.0878;0.0020;0.0002;0.0003;0.0000;0.0989;0.0703;0.0692;0.0005;0.0315;0.2797;4.4944;1.8086;1.5146;0.1811
100;SEEDLE;9;0.0037;0.2681;0.2691;0.0187;0.0203;0.0168;0.0000;0.0000;0.0000;0.0000;0.0117;0.0083;0.0082;0.0003;0.0037;0.0699;4.5878;2.8066;0.5896;0.1340
100;SEEDLE;10;0.0986;0.9101;0.9158;0.1773;0.1748;0.0448;0.0093;0.0009;0.0012;0.0000;0.3107;0.2208;0.2176;0.0009;0.0989;0.1948;5.0941;3.3023;2.0745;0.2880
100;SEEDLE;11;0.0130;0.5306;0.5314;0.0326;0.0326;0.0191;0.0003;0.0000;0.0000;0.0000;0.0403;0.0286;0.0282;0.0005;0.0128;0.0614;4.9779;2.7107;1.1713;0.1189
100;SEEDLE;12;0.0021;0.1355;0.1361;0.0163;0.0203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0064;0.0046;0.0045;0.0001;0.0020;0.1206;4.8757;2.6926;0.3092;0.2799
100;SEEDLE;13;0.0511;1.0994;1.1067;0.0770;0.0743;0.0503;0.0020;0.0002;0.0003;0.0000;0.1597;0.1135;0.1119;0.0011;0.0508;0.0700;5.1838;1.9244;2.4528;0.1067
100;SEEDLE;14;0.0288;0.5947;0.6022;0.0682;0.0643;0.0606;0.0012;0.0001;0.0001;0.0000;0.0903;0.0642;0.0633;0.0006;0.0288;0.1147;5.1666;3.8265;1.3040;0.2128
100;SEEDLE;15;0.0423;0.4951;0.5048;0.1240;0.1236;0.0091;0.0032;0.0003;0.0004;0.0000;0.1324;0.0941;0.0927;0.0005;0.0421;0.2505;5.4916;2.5880;1.1805;0.3818
100;SEEDLE;16;0.0263;0.2228;0.2254;0.1882;0.1802;0.0204;0.0030;0.0003;0.0004;0.0000;0.0853;0.0606;0.0598;0.0002;0.0272;0.8449;5.7918;2.0813;0.6368;0.8141
100;SEEDLE;17;0.0629;0.7186;0.7224;0.1758;0.1742;0.0126;0.0051;0.0005;0.0006;0.0000;0.1971;0.1400;0.1380;0.0007;0.0627;0.2447;6.0107;2.9962;1.7681;0.2528
100.5;SEEDLE;1;0.0504;0.4489;0.5209;0.1982;0.2479;0.0769;0.0066;0.0007;0.0008;0.0000;0.1811;0.1287;0.1268;0.0005;0.0576;0.4416;4.3039;2.7194;1.4086;0.3190
100.5;SEEDLE;2;0.0214;0.4324;0.4382;0.1180;0.1223;0.0532;0.0011;0.0001;0.0001;0.0000;0.0669;0.0475;0.0468;0.0004;0.0213;0.2730;4.4600;2.9745;1.0764;0.2316
100.5;SEEDLE;3;0.0423;0.4341;0.4521;0.1510;0.1416;0.0147;0.0036;0.0004;0.0005;0.0000;0.1312;0.0932;0.0919;0.0005;0.0418;0.3479;4.5732;2.4526;1.2043;0.3665
100.5;SEEDLE;4;0.0413;0.8008;0.8310;0.0833;0.0868;0.1220;0.0018;0.0002;0.0002;0.0000;0.1296;0.0921;0.0908;0.0008;0.0413;0.1040;4.8434;1.8414;1.8277;0.1552
100.5;SEEDLE;5;0.0224;0.3183;0.3407;0.1123;0.1311;0.0830;0.0010;0.0001;0.0001;0.0000;0.0596;0.0423;0.0417;0.0003;0.0190;0.3528;5.0359;2.5523;1.4131;0.1411
101;SEEDLE;1;0.5412;1.7280;1.7356;0.3850;0.3915;0.0335;0.1264;0.0126;0.0161;0.0000;1.6303;1.1585;1.1417;0.0017;0.5189;0.2228;4.5913;1.6505;5.3392;0.2386
101;SEEDLE;2;0.0189;0.7429;0.7472;0.0344;0.0326;0.0465;0.0004;0.0000;0.0000;0.0000;0.0590;0.0419;0.0413;0.0007;0.0188;0.0462;5.5207;2.3335;1.6407;0.0881
101;SEEDLE;3;0.0113;0.2867;0.2922;0.0505;0.0486;0.0158;0.0004;0.0000;0.0000;0.0000;0.0365;0.0259;0.0255;0.0003;0.0116;0.1760;5.4682;1.4110;0.6529;0.3332
101.5;SEEDLE;1;0.1124;0.8533;0.8722;0.2153;0.2248;0.0487;0.0141;0.0014;0.0018;0.0000;0.3499;0.2487;0.2451;0.0009;0.1114;0.2524;4.0208;1.4705;2.1964;0.2927
102;SEEDLE;1;0.0937;1.1780;1.1865;0.1120;0.1133;0.0299;0.0062;0.0006;0.0008;0.0000;0.2933;0.2084;0.2054;0.0012;0.0934;0.0951;3.5721;2.6380;2.7000;0.1615
102;SEEDLE;2;0.0047;0.3904;0.3913;0.0192;0.0192;0.0164;0.0001;0.0000;0.0000;0.0000;0.0166;0.0118;0.0116;0.0004;0.0053;0.0492;3.5950;2.1066;0.8050;0.0917
102;SEEDLE;3;0.0142;0.4121;0.4158;0.0609;0.0618;0.0155;0.0004;0.0000;0.0001;0.0000;0.0444;0.0316;0.0311;0.0004;0.0141;0.1477;4.0334;2.0186;0.9029;0.2187
102;SEEDLE;4;0.0719;1.0502;1.0531;0.0817;0.0817;0.0251;0.0039;0.0004;0.0005;0.0000;0.2261;0.1607;0.1583;0.0011;0.0720;0.0778;4.5614;3.1380;2.3567;0.1627
102;SEEDLE;5;0.0266;0.3665;0.4289;0.1059;0.1092;0.1681;0.0016;0.0002;0.0002;0.0000;0.0860;0.0611;0.0602;0.0004;0.0274;0.2891;4.3148;2.6055;1.0590;0.2978
102;SEEDLE;6;0.0344;0.4448;0.4542;0.1009;0.1036;0.0143;0.0022;0.0002;0.0003;0.0000;0.1075;0.0764;0.0753;0.0005;0.0342;0.2269;4.5572;2.1686;1.0560;0.3874
102.5;SEEDLE;1;0.0359;0.6009;0.6051;0.0855;0.0819;0.0075;0.0018;0.0002;0.0002;0.0000;0.1124;0.0799;0.0787;0.0006;0.0358;0.1424;3.2602;1.3995;1.3369;0.2526
102.5;SEEDLE;2;0.0160;0.3637;0.3695;0.0656;0.0645;0.0250;0.0006;0.0001;0.0001;0.0000;0.0506;0.0359;0.0354;0.0004;0.0161;0.1805;3.1080;2.0088;0.8140;0.3037
102.5;SEEDLE;3;0.0175;0.2652;0.2809;0.1158;0.1158;0.0240;0.0008;0.0001;0.0001;0.0000;0.0456;0.0324;0.0319;0.0003;0.0145;0.4369;3.4305;1.7764;1.1319;0.1717
102.5;SEEDLE;4;0.0050;0.1615;0.1648;0.0467;0.0447;0.0559;0.0001;0.0000;0.0000;0.0000;0.0158;0.0112;0.0111;0.0002;0.0050;0.2892;3.4561;2.0355;0.3724;0.4508
102.5;SEEDLE;5;0.0156;0.3317;0.3901;0.0645;0.0608;0.2890;0.0005;0.0001;0.0001;0.0000;0.0488;0.0347;0.0342;0.0004;0.0155;0.1945;3.7464;1.3375;0.8956;0.2451
102.5;SEEDLE;6;0.0682;0.5656;0.6003;0.2638;0.2638;0.0398;0.0070;0.0007;0.0009;0.0000;0.2126;0.1511;0.1489;0.0006;0.0677;0.4664;4.3012;1.2045;1.6465;0.3161
