"AGE","LocFit","MEAN(of_boot)","0.05","0.95"
750,0.122100681950454,0.122100681950454,0.122100681950454,0.122100681950454
760,0.12446314779752,0.12446314779752,0.12446314779752,0.12446314779752
770,0.125655226044918,0.125655226044918,0.125655226044918,0.125655226044918
780,0.125667337179483,0.125667337179483,0.125667337179483,0.125667337179483
790,0.124489901688051,0.124489901688051,0.124489901688051,0.124489901688051
800,0.122113340057455,0.122113340057455,0.122113340057455,0.122113340057455
810,0.118528072774533,0.118528072774533,0.118528072774533,0.118528072774533
820,0.113724520326119,0.113724520326119,0.113724520326119,0.113724520326119
830,0.107693103199048,0.107693103199048,0.107693103199048,0.107693103199048
840,0.100424241880156,0.100424241880156,0.100424241880156,0.100424241880156
850,0.0919083568562773,0.0919083568562774,0.0919083568562774,0.0919083568562774
860,0.0821358686142483,0.0821358686142484,0.0821358686142484,0.0821358686142484
870,0.0710971976409039,0.0710971976409039,0.0710971976409039,0.0710971976409039
880,0.0587827644230793,0.0587827644230792,0.0587827644230792,0.0587827644230792
890,0.0451829894476097,0.0451829894476098,0.0451829894476098,0.0451829894476098
900,0.0302882932013306,0.0302882932013306,0.0302882932013306,0.0302882932013306
910,0.0140890961710771,0.014089096171077,0.014089096171077,0.014089096171077
920,-0.00342418115631554,-0.00342418115631554,-0.00342418115631554,-0.00342418115631554
930,-0.0222611182940118,-0.0222611182940119,-0.0222611182940119,-0.0222611182940119
940,-0.0424312947551767,-0.0424312947551767,-0.0424312947551767,-0.0424312947551767
950,-0.0638980586894962,-0.0638980586894963,-0.0638980586894963,-0.0638980586894963
960,-0.0860957623338227,-0.0860957623338228,-0.0860957623338228,-0.0860957623338228
970,-0.1088424788008,-0.1088424788008,-0.1088424788008,-0.1088424788008
980,-0.132122997997383,-0.132122997997383,-0.132122997997383,-0.132122997997383
990,-0.155922109830526,-0.155922109830526,-0.155922109830526,-0.155922109830526
1000,-0.180224604207183,-0.180224604207183,-0.180224604207183,-0.180224604207183
1010,-0.205015271034309,-0.20501527103431,-0.20501527103431,-0.20501527103431
1020,-0.230278900218859,-0.230278900218859,-0.230278900218859,-0.230278900218859
1030,-0.256000281667787,-0.256000281667787,-0.256000281667787,-0.256000281667787
1040,-0.282164205288047,-0.282164205288047,-0.282164205288047,-0.282164205288047
1050,-0.308755460986594,-0.308755460986595,-0.308755460986595,-0.308755460986595
1060,-0.335758838670383,-0.335758838670383,-0.335758838670383,-0.335758838670383
1070,-0.363159128246368,-0.363159128246368,-0.363159128246368,-0.363159128246368
1080,-0.390941119621504,-0.390941119621504,-0.390941119621504,-0.390941119621504
1090,-0.419089602702744,-0.419089602702744,-0.419089602702744,-0.419089602702744
1100,-0.447589367397044,-0.447589367397044,-0.447589367397044,-0.447589367397044
1110,-0.476425203611358,-0.476425203611358,-0.476425203611358,-0.476425203611358
1120,-0.505581901252641,-0.505581901252641,-0.505581901252641,-0.505581901252641
1130,-0.535044250227848,-0.535044250227848,-0.535044250227848,-0.535044250227848
1140,-0.564797040443931,-0.564797040443931,-0.564797040443931,-0.564797040443931
1150,-0.594825061807847,-0.594825061807847,-0.594825061807847,-0.594825061807847
1160,-0.62511310422655,-0.62511310422655,-0.62511310422655,-0.62511310422655
1170,-0.655645957606994,-0.655645957606994,-0.655645957606994,-0.655645957606994
1180,-0.686408411856133,-0.686408411856133,-0.686408411856133,-0.686408411856133
1190,-0.717385256880923,-0.717385256880923,-0.717385256880923,-0.717385256880923
1200,-0.748561282588318,-0.748561282588318,-0.748561282588318,-0.748561282588318
1210,-0.779921278885272,-0.779921278885272,-0.779921278885272,-0.779921278885272
1220,-0.81145003567874,-0.81145003567874,-0.81145003567874,-0.81145003567874
1230,-0.843132342875675,-0.843132342875675,-0.843132342875675,-0.843132342875675
1240,-0.874913443443408,-0.874913443443408,-0.874913443443408,-0.874913443443408
1250,-0.903731396871395,-0.903731396871395,-0.903731396871395,-0.903731396871395
1260,-0.927790067624737,-0.927790067624737,-0.927790067624737,-0.927790067624737
1270,-0.947254066047241,-0.947254066047241,-0.947254066047241,-0.947254066047241
1280,-0.962288002482716,-0.962288002482716,-0.962288002482716,-0.962288002482716
1290,-0.97305648727497,-0.97305648727497,-0.97305648727497,-0.97305648727497
1300,-0.979724130767812,-0.979724130767812,-0.979724130767812,-0.979724130767812
1310,-0.982455543305048,-0.982455543305048,-0.982455543305048,-0.982455543305048
1320,-0.981415335230489,-0.981415335230489,-0.981415335230489,-0.981415335230489
1330,-0.976768116887943,-0.976768116887942,-0.976768116887942,-0.976768116887942
1340,-0.968678498621216,-0.968678498621216,-0.968678498621216,-0.968678498621216
1350,-0.957311090774118,-0.957311090774118,-0.957311090774118,-0.957311090774118
1360,-0.942830503690458,-0.942830503690458,-0.942830503690458,-0.942830503690458
1370,-0.925401347714042,-0.925401347714042,-0.925401347714042,-0.925401347714042
1380,-0.90518823318868,-0.90518823318868,-0.90518823318868,-0.90518823318868
1390,-0.88235577045818,-0.88235577045818,-0.88235577045818,-0.88235577045818
1400,-0.857068569866351,-0.857068569866351,-0.857068569866351,-0.857068569866351
1410,-0.829491241757,-0.829491241757,-0.829491241757,-0.829491241757
1420,-0.799788396473935,-0.799788396473935,-0.799788396473935,-0.799788396473935
1430,-0.768124644360966,-0.768124644360966,-0.768124644360966,-0.768124644360966
1440,-0.7346645957619,-0.7346645957619,-0.7346645957619,-0.7346645957619
1450,-0.699572861020546,-0.699572861020546,-0.699572861020546,-0.699572861020546
1460,-0.663014050480712,-0.663014050480712,-0.663014050480712,-0.663014050480712
1470,-0.625152774486205,-0.625152774486206,-0.625152774486206,-0.625152774486206
1480,-0.586153643380836,-0.586153643380836,-0.586153643380836,-0.586153643380836
1490,-0.546181267508411,-0.546181267508411,-0.546181267508411,-0.546181267508411
1500,-0.505400257212739,-0.50540025721274,-0.50540025721274,-0.50540025721274
1510,-0.463975222837629,-0.463975222837629,-0.463975222837629,-0.463975222837629
1520,-0.422070774726888,-0.422070774726889,-0.422070774726889,-0.422070774726889
1530,-0.379851523224326,-0.379851523224326,-0.379851523224326,-0.379851523224326
1540,-0.338513957444793,-0.338513957444793,-0.338513957444793,-0.338513957444793
1550,-0.299559014779484,-0.299559014779485,-0.299559014779485,-0.299559014779485
1560,-0.262942110276645,-0.262942110276645,-0.262942110276645,-0.262942110276645
1570,-0.228607293199093,-0.228607293199093,-0.228607293199093,-0.228607293199093
1580,-0.196498612809648,-0.196498612809648,-0.196498612809648,-0.196498612809648
1590,-0.166560118371127,-0.166560118371127,-0.166560118371127,-0.166560118371127
