Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
24;1785.5;3110.930718;797.9335282;1333.256022;70.70297086;10.10042441;0;0;0;0;0;0;20.20084882;0;0;0;0;20.20084882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.10042441;0;60.60254645;20.20084882;0;0;0;0;1666.570027;1888.779364;0;0;0;0;0;0;0;0;0;0;5373.425785;;;;;;
24.5;1835;3247.460592;987.4035585;1535.961091;142.6249584;21.9423013;0;0;0;0;0;0;98.74035585;0;0;0;0;43.8846026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.91345195;10.97115065;76.79805455;0;0;0;0;0;1744.412953;2095.489774;0;32.91345195;0;0;0;0;0;0;0;0;6110.930912;;;;;;
25;1889;3779.780822;1501.731101;1361.739219;127.2653475;25.45306951;0;0;0;0;0;0;76.35920852;0;0;0;0;12.72653475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.17960426;25.45306951;63.63267377;0;0;0;0;12.72653475;2150.784373;2430.768138;0;12.72653475;0;0;0;0;0;0;0;0;6923.234906;;;;;;
25.5;1943;7918.737245;2532.929422;3386.126701;133.3120748;0;0;0;26.66241497;0;0;0;133.3120748;0;0;0;0;106.6496599;0;0;0;0;26.66241497;0;0;0;0;0;0;0;0;0;0;0;0;0;106.6496599;0;266.6241497;0;0;0;0;0;4825.897109;5119.183673;0;0;0;0;0;0;0;0;0;0;14371.04167;;;;;;
26;1981;6025.126165;2353.24793;2272.101449;101.4331004;0;0;0;0;0;0;0;60.85986025;0;0;0;0;81.14648033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.28662008;0;0;60.85986025;0;142.0063406;0;0;0;0;0;3489.298654;3996.464156;0;0;0;0;0;0;0;0;0;0;10975.06146;;;;;;
26.5;2008;7872.248932;1890.296856;2775.625763;143.5668498;23.9278083;0;0;0;23.9278083;0;0;95.71123321;0;0;0;0;47.85561661;0;0;0;47.85561661;23.9278083;0;0;0;0;23.9278083;0;0;0;0;0;0;0;0;119.6390415;47.85561661;287.1336996;23.9278083;0;0;0;0;3972.016178;4737.706044;0;23.9278083;0;0;0;0;0;0;0;0;13088.51114;;;;;;
27;2034;6648.939732;2006.346726;3406.123512;93.31845238;0;0;0;0;0;0;0;23.3296131;0;0;0;0;46.65922619;0;0;0;0;0;0;0;0;0;23.3296131;0;0;0;0;0;0;0;0;23.3296131;23.3296131;209.9665179;23.3296131;0;0;0;0;4292.64881;4502.615327;0;46.65922619;0;0;0;0;0;0;0;0;12271.37649;;;;;;
27.5;2061;5972.380952;2343.330026;2509.229497;82.94973545;0;0;0;0;0;0;0;103.6871693;0;0;0;0;20.73743386;0;0;0;0;0;0;0;0;20.73743386;0;0;0;0;0;0;0;0;0;20.73743386;0;331.7989418;20.73743386;0;0;0;0;3566.838624;4023.062169;0;20.73743386;0;0;0;0;0;0;0;0;11073.78968;;;;;;
28;2086;5722.357929;1725.511006;1690.296496;70.42902066;0;0;0;0;0;0;0;17.60725517;0;0;0;0;35.21451033;0;0;0;0;0;0;0;17.60725517;0;0;0;0;0;0;0;0;0;0;70.42902066;17.60725517;105.643531;17.60725517;0;0;0;0;2729.124551;3204.52044;0;0;0;0;0;0;0;0;0;0;9349.452493;;;;;;
28.5;2112.5;5618.962133;2124.483916;2759.843592;99.27494934;0;0;0;0;0;0;0;59.5649696;0;0;0;0;138.9849291;0;0;0;0;19.85498987;0;0;0;0;0;0;0;0;0;0;0;0;0;79.41995947;0;99.27494934;0;0;0;0;59.5649696;3176.798379;3832.013045;0;0;0;0;0;0;0;0;0;0;10900.38944;;;;;;
29;2137;5340.992275;2382.598784;2601.003673;158.8399189;39.70997974;0;0;0;0;0;0;59.5649696;0;0;0;0;79.41995947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.27494934;19.85498987;138.9849291;19.85498987;0;0;0;0;3196.653369;3871.723024;0;39.70997974;0;0;0;0;0;0;0;0;10761.40451;;;;;;
29.5;2165;8338.455261;3461.813556;3883.251728;210.719086;30.10272657;0;0;0;0;0;0;240.8218126;0;0;0;0;90.30817972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.30817972;0;240.8218126;30.10272657;0;0;0;0;5267.977151;5870.031682;0;0;0;0;0;0;0;0;0;0;16345.78053;;;;;;
30;2191;6986.273327;2623.005148;3455.304858;100.8848134;25.22120335;0;0;0;0;0;0;126.1060167;0;0;0;0;0;0;0;0;0;50.44240669;0;0;25.22120335;0;0;0;0;0;0;0;0;0;0;50.44240669;0;378.3180502;75.66361004;0;0;25.22120335;0;4211.940959;4892.913449;0;25.22120335;0;0;0;0;0;0;0;0;13442.90138;;;;;;
30.5;2217;5346.369668;1710.838294;2838.43626;174.9720982;19.44134425;0;0;0;0;0;0;136.0894097;0;0;0;0;58.32403274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.32403274;0;330.5028522;77.76537698;0;0;0;0;3305.028522;3849.386161;0;19.44134425;0;0;0;0;0;0;0;0;10342.79514;;;;;;
31;2243.5;7130.486874;2057.791514;3421.676587;143.5668498;0;0;0;0;0;0;0;119.6390415;0;0;0;0;95.71123321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.85561661;0;358.9171245;71.78342491;0;0;0;0;4115.583028;4618.067002;0;0;0;0;0;0;0;0;0;0;13016.72772;;;;;;
31.5;2273;8179.087885;2579.980742;3650.398284;247.0194328;0;0;0;0;0;0;0;54.89320728;0;0;0;0;54.89320728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109.7864146;0;603.8252801;137.2330182;0;0;0;0;4858.048845;5434.427521;0;0;0;0;0;0;0;0;0;0;14876.05917;;;;;;
36.5;2529;6578.950893;1843.039435;3452.782738;163.3072917;23.3296131;0;0;0;0;0;0;209.9665179;0;46.65922619;0;0;69.98883929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.31845238;0;303.2849702;23.3296131;0;0;0;0;3802.726935;4339.308036;0;0;0;0;0;0;0;0;0;0;12481.34301;;;;;;
37;2557.5;7776.537698;1762.681878;3603.129134;207.3743386;0;0;0;0;25.92179233;0;0;155.530754;0;0;0;0;103.6871693;0;0;0;0;25.92179233;0;0;0;0;0;0;0;0;0;0;0;0;0;51.84358466;25.92179233;311.0615079;25.92179233;0;0;0;0;4251.173942;4976.984127;0;0;0;0;0;0;0;0;0;0;13712.62814;;;;;;
37.5;2585;5635.702614;1280.841503;2726.362628;54.89320728;0;0;0;0;18.29773576;0;0;54.89320728;0;0;0;0;18.29773576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.89320728;0;256.1683007;36.59547152;0;0;0;0;3037.424136;3513.165266;0;0;0;0;0;0;0;0;0;0;9844.181839;;;;;;
38;2611.5;5031.081781;2150.381729;2698.120471;60.85986025;40.57324017;0;0;20.28662008;0;0;0;60.85986025;0;0;0;0;60.85986025;0;0;0;0;40.57324017;0;0;0;0;0;0;0;0;0;0;0;0;0;60.85986025;0;243.439441;0;0;0;0;0;3306.719073;3935.604296;0;20.28662008;0;0;0;0;0;0;0;0;10224.45652;;;;;;
38.5;2639;7615.989823;2829.656298;4696.025346;210.719086;30.10272657;0;0;0;0;0;0;120.4109063;0;0;0;0;180.6163594;0;0;0;30.10272657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.20545315;0;361.2327189;0;0;0;0;0;5087.360791;5990.442588;0;0;0;0;0;0;0;0;0;0;15773.82873;;;;;;
39;2666;7932.068452;2986.190476;4168.224206;217.7430556;31.10615079;0;0;0;0;0;0;93.31845238;0;0;0;62.21230159;0;0;0;0;0;62.21230159;0;0;0;0;0;0;0;0;0;0;0;0;0;93.31845238;31.10615079;217.7430556;31.10615079;0;0;0;31.10615079;5288.045635;6034.593254;0;0;0;0;0;0;0;0;0;0;15646.39385;;;;;;
