sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
79;40;3261;62.42544732;13.71769384;21.66998012;0.795228628;0.198807157;0;0.596421471;0.397614314;0;0.198807157;0.984251969
80;40.5;3288;61.50793651;13.88888889;22.81746032;0.396825397;0.198412698;0;0.595238095;0.198412698;0.198412698;0.198412698;0.787401575
81;41;3316;64.75247525;10.4950495;22.97029703;0.396039604;0.198019802;0;0.396039604;0;0;0.792079208;1.3671875
82;41.5;3344;63.28125;9.765625;24.8046875;0.78125;0;0;0.78125;0.390625;0.1953125;0;0.775193798
83;42;3369.5;64.08730159;12.6984127;19.84126984;0.992063492;0.396825397;0;0.793650794;0.595238095;0.198412698;0.396825397;0.787401575
84;42.5;3398;59.95575221;13.49557522;24.33628319;1.10619469;0.221238938;0;0.221238938;0.221238938;0.221238938;0.221238938;1.094091904
85;43;3423;58.64811133;9.145129225;29.82107356;0.994035785;0.198807157;0;0.795228628;0;0;0.397614314;0.396039604
86;43.5;3449;56.39534884;10.07751938;30.23255814;0.775193798;0.581395349;0;1.162790698;0.387596899;0;0.19379845;0.193423598
87;44;3476;60.58823529;12.74509804;23.1372549;1.568627451;0.784313725;0;0.588235294;0.196078431;0;0.392156863;1.544401544
88;44.5;3499.5;56.89320388;13.78640777;25.4368932;1.165048544;0.776699029;0;1.165048544;0.582524272;0;0.194174757;1.151631478
89;45;3528.5;58.93909627;13.94891945;24.36149312;0.982318271;0.392927308;0;0.392927308;0;0;0.589390963;1.356589147
90;45.5;3563;59.29549902;12.72015656;24.85322896;1.56555773;0;0;0.782778865;0.195694716;0;0.391389432;1.541425819
91;46;3599;57.02970297;12.27722772;27.72277228;1.386138614;0.396039604;0.198019802;0.198019802;0.198019802;0;0.396039604;0.980392157
92;46.5;3645;59.5463138;11.53119093;25.8979206;1.512287335;0.189035917;0.378071834;0.378071834;0.378071834;0;0.189035917;0.376647834
93;47;3692.5;54.34782609;12.45059289;29.84189723;1.383399209;0;0.395256917;0.988142292;0;0;0.395256917;0.589390963
94;47.5;3738;58.82352941;10.19607843;29.41176471;0.588235294;0.196078431;0.196078431;0.392156863;0.196078431;0;0;0.970873786
95;48;3781;58.05168986;9.741550696;28.2306163;1.391650099;0.198807157;0.397614314;0.596421471;0.397614314;0.198807157;0.596421471;0.984251969
96;48.5;3825.5;59.04572565;10.73558648;29.22465209;0.596421471;0;0;0.198807157;0.198807157;0;0;0.788954635
97;49;3868;58.92857143;14.68253968;24.20634921;0.595238095;0.198412698;0.198412698;0.198412698;0.595238095;0;0;1.176470588
98;49.5;3911;62.37816764;12.47563353;22.61208577;0.974658869;0;0.194931774;0.389863548;0;0.194931774;0.389863548;0.581395349
99;50;3956;56.32411067;11.06719368;30.43478261;1.185770751;0;0;0.592885375;0;0.197628458;0;0.784313725
100;50.5;4000;53.17460317;13.0952381;32.93650794;0.396825397;0;0;0.396825397;0;0;0;0.395256917
101;51;4045;55.51181102;11.41732283;32.08661417;0.787401575;0;0;0.196850394;0;0;0;0.78125
102;51.5;4088.5;55.47169811;9.811320755;32.83018868;1.320754717;0;0;0.377358491;0.188679245;0;0;0.74906367
103;52;4132.5;56.09284333;12.37911025;28.62669246;1.934235977;0.193423598;0.193423598;0.193423598;0;0;0;0.193050193
104;52.5;4176.5;55.95238095;12.8968254;29.76190476;1.19047619;0;0;0;0;0;0.198412698;0.395256917
105;53;4221;60.1532567;10.53639847;28.35249042;0.383141762;0;0;0.191570881;0.191570881;0;0.191570881;0.191204589
106;53.5;4265;59.88142292;9.090909091;28.85375494;1.581027668;0;0;0.197628458;0.197628458;0;0.197628458;0.589390963
107;54;4311;58.1920904;11.67608286;27.87193974;1.31826742;0;0;0.376647834;0.188323917;0;0.376647834;0.561797753
108;54.5;4365;57.25338491;14.70019342;26.49903288;0.967117988;0;0;0;0.193423598;0;0.386847195;0.576923077
109;55;4425;59.40594059;11.88118812;27.72277228;0.99009901;0;0;0;0;0;0;0.785854617
110;55.5;4471;57.11500975;12.86549708;28.07017544;1.169590643;0;0;0.194931774;0.194931774;0;0.389863548;1.156069364
111;56;4515.5;57.41811175;9.055876686;30.82851638;1.541425819;0.385356455;0;0.192678227;0.192678227;0;0.192678227;0.383877159
112;56.5;4558;53.37186898;14.45086705;29.86512524;1.541425819;0.192678227;0;0.192678227;0.192678227;0;0.192678227;0.764818356
113;57;4601.5;53.06930693;14.05940594;30.4950495;1.188118812;0.198019802;0;0.198019802;0.198019802;0;0;0.394477318
114;57.5;4643;57.33855186;12.32876712;26.61448141;1.761252446;0.587084149;0.195694716;0.587084149;0.195694716;0;0.195694716;0.389863548
115;58;4684;91.28919861;4.529616725;1.742160279;1.045296167;0;0.348432056;0.696864111;0.348432056;0;0;1.034482759
116;58.5;4728;53.93258427;10.11235955;32.9588015;0.74906367;0.374531835;0.374531835;0.561797753;0.561797753;0.187265918;0.187265918;0.373134328
117;59;4770;53.69649805;12.6459144;32.10116732;0.389105058;0.389105058;0;0;0.194552529;0.194552529;0.389105058;1.343570058
118;59.5;4812;52.89719626;9.906542056;35.70093458;0.560747664;0.186915888;0;0.373831776;0;0;0.373831776;0
119;60;4856.5;55.24752475;11.68316832;31.48514851;1.188118812;0;0;0;0;0;0;0.590551181
120;60.5;4901;51.953125;11.71875;33.203125;1.953125;0.390625;0;0;0.1953125;0;0.390625;0.582524272
121;61;4944;56.1023622;12.99212598;29.13385827;1.181102362;0.196850394;0;0;0.196850394;0;0.196850394;0.196463654
122;61.5;4985;51.17647059;10.39215686;36.2745098;1.37254902;0.392156863;0;0.392156863;0;0;0;0.390625
123;62;5029;54.79452055;10.95890411;32.4853229;1.56555773;0;0;0;0;0;0.195694716;0.583657588
124;62.5;5068.5;57.72200772;10.81081081;28.57142857;1.351351351;0.772200772;0;0.386100386;0.193050193;0;0.193050193;0.766283525
125;63;5113.5;54.77582846;9.746588694;33.33333333;0.974658869;0.194931774;0.194931774;0.779727096;0;0;0;1.346153846
126;63.5;5158;55.66600398;11.33200795;31.21272366;0.795228628;0.596421471;0;0.198807157;0;0;0.198807157;0.198412698
127;64;5202;53.6;10.4;34.6;0.6;0.2;0.2;0;0.4;0;0;0.398406375
128;64.5;5245.5;51.16731518;9.922178988;35.79766537;1.556420233;0.583657588;0.389105058;0.194552529;0.194552529;0;0.194552529;0.580270793
129;65;5290.5;51.65048544;10.29126214;36.31067961;0.776699029;0.582524272;0;0;0;0;0;0.770712909
130;65.5;5329;53.05719921;8.678500986;34.51676529;1.380670611;0.591715976;0;0.197238659;0.591715976;0.197238659;0.591715976;0.782778865
131;66;5372;51.92307692;8.269230769;37.30769231;1.346153846;0.384615385;0;0.576923077;0;0.192307692;0;0
132;66.5;5416.5;54.80225989;9.792843691;32.9566855;1.31826742;0.188323917;0;0.376647834;0.376647834;0;0.188323917;0.187969925
133;67;5457.5;56.03960396;9.702970297;31.28712871;1.98019802;0.198019802;0;0.198019802;0;0;0.198019802;0
134;67.5;5502.5;54.01174168;9.39334638;35.22504892;0.782778865;0;0;0.391389432;0.195694716;0;0;0.583657588
135;68;5546;58.62745098;8.431372549;29.41176471;1.568627451;0.588235294;0;0;0.784313725;0;0.588235294;0.195694716
136;68.5;5589;54.92125984;9.05511811;32.48031496;3.149606299;0;0;0.196850394;0.196850394;0;0;0.392156863
137;69;5634.5;53.35968379;9.881422925;34.7826087;1.778656126;0;0.197628458;0;0;0;0;0.393700787
138;69.5;5679;54.73887814;9.090909091;33.655706;1.740812379;0.386847195;0;0;0.386847195;0;0;0.193050193
139;70;5720;54.2;8.6;35;1.8;0.2;0;0.2;0;0;0;0.199600798
140;70.5;5762.5;56.74603175;7.738095238;31.34920635;3.76984127;0.198412698;0.198412698;0;0;0;0;0.591715976
141;71;5803;53.187251;7.96812749;36.25498008;1.593625498;0.398406375;0;0.398406375;0;0;0.199203187;0.198807157
142;71.5;5846;53.22896282;7.240704501;37.76908023;1.369863014;0;0;0;0;0;0.391389432;0
143;72;5891;54.92125984;6.496062992;35.82677165;2.362204724;0.196850394;0;0;0;0;0.196850394;0.587084149
144;72.5;5936;52.07100592;5.719921105;39.64497041;1.972386588;0;0;0.197238659;0.197238659;0.197238659;0;0.392927308
145;73;5979;54.05940594;6.534653465;37.62376238;1.584158416;0;0;0;0;0.198019802;0;0
146;73.5;6023;56.12648221;5.731225296;36.56126482;0.988142292;0;0.197628458;0.197628458;0.197628458;0;0;0.197238659
147;74;6066.5;58.61386139;5.346534653;33.66336634;1.188118812;0.198019802;0;0.792079208;0;0;0.198019802;0.394477318
148;74.5;6110;57.53968254;4.761904762;35.51587302;1.587301587;0.198412698;0;0.396825397;0;0;0;0.198019802
149;75;6153;54.63320463;4.247104247;38.03088803;2.895752896;0;0;0.193050193;0;0;0;0.575815739
150;75.5;6196;57.08582834;4.191616766;36.32734531;1.996007984;0.199600798;0;0;0.199600798;0;0;0.199203187
151;76;6238;56.97211155;3.187250996;36.05577689;3.386454183;0.199203187;0;0.199203187;0;0;0;0.198807157
152;76.5;6285;55.77689243;3.784860558;37.4501992;2.988047809;0;0;0;0;0;0;0.198807157
153;77;6326;55.77689243;2.988047809;38.04780876;2.589641434;0.398406375;0;0;0;0;0.199203187;0.594059406
154;77.5;6369;56.08782435;2.195608782;38.92215569;2.594810379;0;0;0;0.199600798;0;0;0.199203187
155;78;6416.5;55.62130178;1.775147929;37.27810651;3.944773176;0.591715976;0.197238659;0;0;0;0.197238659;0.9765625
156;78.5;6459.5;53.89105058;0.972762646;40.46692607;4.085603113;0.194552529;0.194552529;0;0;0;0;0.194174757
157;79;6504;57.73809524;0.396825397;37.3015873;3.174603175;0.396825397;0;0.595238095;0;0.198412698;0.198412698;0.591715976
158;79.5;6547;59.68379447;0.395256917;36.95652174;2.371541502;0.395256917;0;0.197628458;0;0;0;0.393700787
159;80;6592;57.44680851;0.193423598;39.45841393;2.127659574;0;0.193423598;0.193423598;0.193423598;0;0;0.193050193
160;80.5;6637;56.84007707;0.192678227;37.76493256;3.275529865;0.192678227;0.385356455;0;0.578034682;0;0.578034682;0.192307692
161;81;6669;56.54761905;0;40.87301587;1.984126984;0;0;0;0;0;0.396825397;0.198019802
162;81.5;6694;61.43410853;0;34.88372093;2.713178295;0.387596899;0;0.19379845;0.19379845;0;0;0.193423598
163;82;6717.5;56.1752988;0;40.43824701;2.788844622;0.398406375;0;0;0;0;0.199203187;0.198807157
164;82.5;6738;59.96055227;0.197238659;34.71400394;4.142011834;0.197238659;0;0;0;0.197238659;0.591715976;0.196850394
165;83;6758;58.96414343;0;36.25498008;3.984063745;0.199203187;0;0;0.199203187;0;0.199203187;0
166;83.5;6777;58.30188679;0.188679245;36.22641509;3.20754717;0.566037736;0;0.188679245;0.188679245;0.188679245;0.377358491;0.188323917
167;84;6793.5;56.34920635;0;39.68253968;3.174603175;0.396825397;0;0.198412698;0;0;0.198412698;0.198019802
168;84.5;6812;59.30232558;0;35.27131783;3.294573643;0.387596899;0;0.387596899;0.387596899;0;0.775193798;0
169;85;6831;54.85148515;0;39.6039604;4.158415842;0.198019802;0;0.198019802;0.198019802;0.198019802;0.594059406;0.197628458
170;85.5;6851;58.49802372;0;36.16600791;3.95256917;0.592885375;0.197628458;0.197628458;0;0;0.395256917;0
171;86;6869;56.56370656;0;39.18918919;3.861003861;0.193050193;0;0;0;0;0.193050193;0
172;86.5;6887;53.54330709;0.196850394;41.73228346;3.543307087;0.393700787;0;0;0.393700787;0;0;0.587084149
173;87;6906.5;55.13833992;0;39.92094862;3.754940711;0.395256917;0;0.197628458;0.197628458;0;0.395256917;0.197238659
174;87.5;6924;56.94444444;0;39.68253968;2.380952381;0.198412698;0.198412698;0.198412698;0;0.198412698;0.198412698;0.395256917
175;88;6943;58.12133072;0;38.16046967;2.935420744;0.587084149;0;0.195694716;0;0;0;0.389863548
176;88.5;6962;58.13492063;0;38.88888889;2.380952381;0;0;0;0.198412698;0;0;0.395256917
177;89;6980;54.77099237;0;41.98473282;2.480916031;0.190839695;0;0;0.381679389;0;0.190839695;0.19047619
178;89.5;6998;55.55555556;0;40.87301587;2.976190476;0.396825397;0;0.198412698;0;0;0;0.395256917
179;90;7016;56.2745098;0;40.78431373;2.352941176;0.196078431;0;0;0.196078431;0;0.196078431;0.390625
180;90.5;7037;57.08661417;0;39.37007874;2.362204724;0;0;0.393700787;0.196850394;0;0.590551181;0.392156863
181;91;7056;55.37848606;0.199203187;41.83266932;2.19123506;0;0;0;0;0.199203187;0;0.790513834
182;91.5;7075;55.33596838;0;41.50197628;2.173913043;0.197628458;0.197628458;0.197628458;0;0;0.197628458;0.393700787
183;92;7095;55.88235294;0;41.56862745;1.960784314;0.196078431;0;0.196078431;0;0;0;0
184;92.5;7115;54.97185741;0;40.90056285;2.626641651;0.375234522;0;0.375234522;0;0;0.375234522;0
185;93;7134;55.53359684;0;41.8972332;1.976284585;0.395256917;0;0;0;0;0;0.393700787
186;93.5;7152.5;62.57425743;0;34.85148515;1.98019802;0;0;0.198019802;0.198019802;0;0;0.394477318
187;94;7170;59.96015936;0;36.85258964;2.589641434;0.199203187;0;0;0.199203187;0;0.199203187;0.594059406
188;94.5;7190;64.41351889;0;33.7972167;1.590457256;0;0;0.198807157;0;0;0;0.592885375
189;95;7208;60.3515625;0;37.5;1.3671875;0;0.1953125;0;0;0;0.390625;0.194931774
190;95.5;7224;61.18811881;0;36.43564356;1.386138614;0;0;0;0.396039604;0;0.396039604;0.197628458
191;96;7244.5;57.84313725;0;40.78431373;0.980392157;0;0;0;0;0;0.392156863;0.390625
192;96.5;7264;57.70750988;0;39.13043478;1.185770751;0.395256917;0;0.197628458;0;0;0.197628458;0.197238659
