sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
197;105;7013.5;65.86826347;0;29.54091816;3.393213573;0.399201597;0;0.199600798;0.399201597;0;0.199600798;0.199203187
198;105.5;7049;62.23091977;0;34.83365949;2.544031311;0;0;0;0;0.195694716;0;0.583657588
199;106;7085;65.33864542;0;32.07171315;2.19123506;0;0;0;0;0;0.398406375;0.594059406
200;106.5;7121;62.37623762;0;35.64356436;1.584158416;0;0;0.198019802;0;0;0.198019802;0.394477318
201;107;7155;57.6;0;35.8;5.2;0.4;0;0.6;0.4;0;0;0
202;107.5;7192;58.56573705;0;37.05179283;3.585657371;0.398406375;0;0.199203187;0;0;0;0.790513834
203;108;7228;57.96812749;0;37.4501992;3.585657371;0.199203187;0;0.199203187;0.199203187;0;0.398406375;0.198807157
204;108.5;7263;61.35458167;0;36.85258964;1.195219124;0;0;0.398406375;0;0;0;0.198807157
205;109;7301;62.6;0;34.6;2;0.4;0;0.2;0;0;0;0
206;109.5;7340;61.38613861;0;35.64356436;2.376237624;0.396039604;0;0;0;0;0;0.394477318
207;110;7401;63.6;0;30.8;4.4;0.4;0;0.4;0.2;0;0;0
208;110.5;7462.5;60.82677165;0;36.81102362;1.377952756;0.196850394;0;0;0.393700787;0.196850394;0;0.974658869
209;111;7517;58.76494024;0;37.4501992;2.988047809;0;0;0.199203187;0;0;0.199203187;0
210;111.5;7572;61.53846154;0;34.71400394;2.761341223;0.591715976;0;0;0;0;0.197238659;0.782778865
211;112;7627;62.64822134;0;34.38735178;1.581027668;0.197628458;0;0.395256917;0.395256917;0;0.395256917;0.393700787
212;112.5;7678;62.22664016;0;35.38767396;2.186878728;0;0;0;0;0;0;0.396039604
213;113;7728;63.22067594;0;34.59244533;1.590457256;0;0;0.198807157;0.198807157;0;0.198807157;0.396039604
214;113.5;7782;61.43141153;0;35.38767396;2.385685885;0.198807157;0;0.397614314;0;0;0.198807157;0.788954635
215;114;7836;64.47105788;0;33.13373253;1.397205589;0.199600798;0;0.598802395;0;0.199600798;0;0.199203187
216;114.5;7889;63.87225549;0;32.93413174;2.195608782;0.199600798;0;0.199600798;0.199600798;0.199600798;0.199600798;0.199203187
217;115;7940.5;63.61829026;0;30.81510934;3.777335984;0.596421471;0;0.596421471;0;0;0.397614314;0.592885375
218;115.5;7990;64.42687747;0;31.81818182;2.173913043;0.395256917;0;0.197628458;0.395256917;0;0;0.393700787
219;116;8042.5;63.4;0;33;3;0;0;0.2;0.4;0;0;0.596421471
220;116.5;8095;62.00787402;0;33.46456693;2.559055118;0.196850394;0;0.787401575;0.393700787;0.196850394;0.196850394;0.587084149
221;117;8150.5;64.34262948;0;32.66932271;1.792828685;0.398406375;0;0;0.597609562;0;0.199203187;0.198807157
222;117.8;8205;60.23622047;0;37.20472441;1.968503937;0.196850394;0;0;0.393700787;0;0;0.974658869
223;118;8256.5;60.15936255;0;37.25099602;1.593625498;0.398406375;0;0;0.398406375;0;0.199203187;0.396825397
224;118.5;8310;64.18786693;0;34.05088063;1.174168297;0.195694716;0;0;0.195694716;0;0.195694716;0.389863548
225;119;8362.5;61.07784431;0;34.13173653;2.195608782;0.998003992;0;0.199600798;0.798403194;0.399201597;0.199600798;0
226;119.5;8420;61.4481409;0;35.61643836;1.174168297;0.978473581;0;0;0.195694716;0;0.195694716;0.1953125
227;120;8473;62.27897839;0;33.59528487;1.768172888;0.785854617;0;0.196463654;0.982318271;0.196463654;0;0.391389432
228;120.5;8522;60.15779093;0;36.48915187;1.775147929;0.197238659;0;0.197238659;0.591715976;0.197238659;0;0.196850394
229;121;8572;56.88622754;0;38.92215569;1.397205589;0.798403194;0;0;1.19760479;0.199600798;0.199600798;0.792079208
230;121.5;8624;58.1027668;0;38.73517787;1.976284585;0.395256917;0;0;0.592885375;0;0;0.978473581
231;122;8674;57.94392523;0;37.75700935;2.056074766;0.186915888;0;0;0.560747664;0;0.560747664;0.372439479
232;122.5;8730.5;52.10727969;0;44.44444444;1.724137931;0.191570881;0.191570881;0;0.957854406;0;0;0.571428571
233;123;8786;49.40239044;0;47.41035857;1.394422311;0.398406375;0.199203187;0;0.597609562;0;0.398406375;0.396825397
234;123.5;8837;52.65151515;0;44.88636364;1.515151515;0.189393939;0;0;0.189393939;0;0;0.564971751
235;124;8885;39.52095808;0;57.08582834;1.796407186;0;0.798403194;0.199600798;0.199600798;0;0;0.792079208
236;124.5;8939;35.26011561;0;62.04238921;1.156069364;0;0;0.578034682;0.385356455;0;0.192678227;0.383877159
237;125;8989.5;27.54491018;0;69.06187625;1.796407186;0.199600798;0.199600798;0.199600798;0.598802395;0.199600798;0.199600798;0.595238095
238;125.5;9046;33.08550186;0;64.49814126;1.115241636;0.185873606;0;0.371747212;0;0;0.185873606;0.554528651
