Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Brasicaceae;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Neurospora;Cercophora;Selaginella;plantago lanceolate;Gelasinospora;drosera rotundifolia;Pinus 1/2;Picea 1/2;Betula Coroded;POLLEN SUM;Sediment accrate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol., ml;Sample thickness, cm
97;7283;1432.244727;0;962.894259;38.70931694;9.677329236;0;0;0;0;0;0;4.838664618;0;0;0;0;9.677329236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.677329236;0;0;0;0;483.8664618;895.1529543;0;0;0;0;0;0;0;0;0;0;0;0;764.5090096;0;0;2458.041626;;;;;;;
97.5;7302;1461.576013;4.988314039;1012.62775;29.92988423;0;0;0;0;0;0;0;4.988314039;0;0;0;0;0;0;0;0;0;0;0;0;4.988314039;0;0;0;0;0;0;0;0;0;0;0;0;0;4.988314039;14.96494212;0;0;0;0;513.796346;927.8264113;0;0;0;0;0;0;0;0;0;0;0;0;768.200362;0;0;2519.09859;;;;;;;
98;7319;1872.626047;0;1193.956204;43.98786016;31.41990012;0;0;0;0;0;6.283980023;6.283980023;0;0;0;0;6.283980023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.283980023;25.13592009;0;0;0;0;772.9295429;1212.808145;0;0;0;0;0;0;0;0;0;0;0;0;904.8931234;0;0;3160.841952;;;;;;;
98.5;7338.5;1326.312534;0;786.2830004;43.20236266;4.320236266;0;0;0;0;0;0;0;0;0;0;0;4.320236266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.320236266;8.640472532;0;0;0;0;380.1807914;773.3222916;0;0;0;0;0;0;0;0;0;0;0;0;630.7544948;0;0;2164.438369;;;;;;;
99;7357;1199.668914;0;815.7748612;19.99448189;7.997792757;0;0;0;0;0;0;3.998896378;0;0;0;0;3.998896378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.99448189;0;0;0;0;315.9128139;747.7936228;0;0;0;0;0;0;0;0;0;0;0;0;559.845493;0;0;2051.433842;;;;;;;
99.5;7376.5;1268.514778;0;884.9089346;26.15494388;4.359157313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.359157313;8.718314627;8.718314627;0;0;0;0;387.9650009;806.444103;0;0;0;0;0;0;0;0;0;0;0;0;680.0285409;0;0;2183.937814;;;;;;;
100;7394.5;1666.651146;0;1043.00104;32.25776412;10.75258804;0;0;0;0;0;0;10.75258804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.37629402;0;0;21.50517608;0;0;0;0;591.3923422;1005.366982;0;0;0;0;0;0;0;0;0;0;0;0;709.6708106;0;0;2768.79142;;;;;;;
100.5;7413;1645.14597;0;994.6143937;37.63405814;5.37629402;0;5.37629402;0;0;0;5.37629402;5.37629402;0;0;0;0;5.37629402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.37629402;0;0;0;0;5.37629402;0;0;0;0;591.3923422;1016.11957;0;0;0;0;0;0;0;0;0;0;0;0;870.9596312;0;0;2709.652186;;;;;;;
101;7430;1796.42376;0;978.8562905;22.24673388;5.561683469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.561683469;0;0;0;0;0;628.470232;1045.596492;0;0;0;0;0;0;0;0;0;0;0;0;745.2655848;0;0;2803.088468;;;;;;;
101.5;7448.5;1635.468641;0;890.3142897;14.51599385;4.838664618;0;0;0;0;0;0;0;0;0;0;0;9.677329236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.838664618;4.838664618;9.677329236;14.51599385;0;0;0;0;483.8664618;914.5076128;0;0;0;0;0;0;0;0;0;0;0;0;619.3490711;0;0;2559.653583;;;;;;;
