Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
40.5;2742;51.09343936;16.89860835;28.82703777;0.994035785;0;0;0;0;0;0;0.198807157;0.397614314;0;0;0;0;0.795228628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.795228628;0;1.949317739;0.396039604;0;0;0;0;25.14880952;27.72988506;0;0;0;0;0;0;0;0;0;0;;;;;;;
41;2767.5;59.48103792;13.97205589;22.55489022;1.596806387;0.399201597;0;0;0;0;0;0;0.798403194;0;0;0;0;0.199600798;0;0;0;0.399201597;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0.399201597;0;3.653846154;0.199203187;0;0;0;0;26.75438596;28.1205165;0;0;0;0;0;0;0;0;0;0;;;;;;;
41.5;2792;57.4;11.2;27.8;1;0.8;0;0;0.2;0;0;0.4;0.2;0;0;0;0.2;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.66088632;0.199600798;0;0;0;0;27.00729927;28.16091954;0.199600798;0.199600798;0;0;0;0;0;0;0;0;;;;;;;
42;2820;65.26946108;10.37924152;21.35728543;0.399201597;0.199600798;0;0;0;0;0;0.399201597;0.598802395;0.399201597;0;0;0;0.399201597;0;0;0;0;0.199600798;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;2.529182879;0.199203187;0;0;0;0;27.28592163;28.32618026;0;0;0;0;0;0;0;0;0;0;;;;;;;
42.5;2847;57.98816568;16.96252465;21.69625247;1.183431953;0.591715976;0;0;0;0;0;0;0.197238659;0;0;0;0;0.591715976;0;0;0;0;0.394477318;0;0;0;0;0;0;0;0;0;0;0;0;0;0.394477318;0.196850394;1.934235977;0;0;0;0;0;23.7593985;27.67475036;0;0;0;0;0;0;0;0;0;0;;;;;;;
43;2875.5;57;11.6;28.4;0.6;0.4;0;0;0.2;0;0;0;0.8;0;0;0;0;0.8;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.100775194;0.199600798;0;0;0;0;25.81602374;28.16091954;0;0;0;0;0;0;0;0;0;0;;;;;;;
43.5;2902.5;58.13492063;12.1031746;27.38095238;0.595238095;0.198412698;0;0;0;0;0;0.198412698;0.198412698;0;0.198412698;0;0;0.198412698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793650794;0.395256917;3.632887189;0;0;0;0;0;24.09638554;27.79369628;0;0;0;0;0;0;0;0;0;0;;;;;;;
44;2928.5;56.48702595;14.97005988;25.5489022;0.598802395;0.598802395;0;0;0;0;0;0;0.598802395;0;0;0;0;0.798403194;0;0;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0.397614314;1.377952756;0.397614314;0;0;0;0;23.97572079;27.49638205;0;0;0;0;0;0;0;0;0;0;;;;;;;
44.5;2953.5;52.08747515;14.11530815;29.42345924;0.994035785;0.994035785;0;0;0;0;0;0;0.596421471;0;0;0;0;0.795228628;0;0;0;0;0;0;0.397614314;0;0;0;0;0;0;0;0;0;0;0;0.596421471;0;2.519379845;0;0;0;0;0;24.81315396;27.41702742;0;0.198412698;0;0;0;0;0;0;0;0;;;;;;;
45;2981;59.3625498;12.35059761;25.69721116;1.195219124;0;0;0;0.199203187;0;0;0;0.199203187;0.199203187;0;0;0;0.398406375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.398406375;0.198807157;2.33463035;0.198807157;0;0;0;0;25.51928783;28.08022923;0;0.594059406;0;0;0;0;0;0;0;0;;;;;;;
45.5;3008.5;61.67664671;11.9760479;23.95209581;0.399201597;0;0;0;0;0;0;0;1.397205589;0;0;0;0;0.399201597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;1.956947162;0;0;0;0;0;23.39449541;28.1205165;0;0.199203187;0;0;0;0;0;0;0;0;;;;;;;
46;3036.5;55.68862275;13.77245509;26.54690619;2.195608782;0.199600798;0;0;0;0;0;0;0.598802395;0;0;0;0;0.598802395;0;0;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0.199203187;1.956947162;0;0;0;0;0;25.11210762;28.2234957;0;0;0;0;0;0;0;0;0;0;;;;;;;
46.5;3063.5;56.8627451;11.76470588;28.82352941;0.784313725;0;0;0;0.196078431;0;0;0;0.784313725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.784313725;0;1.162790698;0.584795322;0;0;0;0;23.88059701;27.45376956;0;0.195694716;0;0;0;0;0;0;0;0;;;;;;;
47;3090.5;54.56349206;13.49206349;28.37301587;1.19047619;0;0;0.198412698;0;0;0;0.198412698;0.396825397;0.198412698;0;0;0;0.396825397;0;0;0;0.198412698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793650794;0;1.945525292;0;0;0;0;0;23.98190045;27.69010043;0;0;0;0;0;0;0;0;0;0;;;;;;;
47.5;3116;55.26838966;15.70576541;25.64612326;0.596421471;0.596421471;0;0;0;0;0;0;0.397614314;0.198807157;0;0;0;0.994035785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.596421471;0;2.707930368;0;0;0;0;0;19.77671451;26.99564586;0;0.198412698;0;0;0;0;0;0;0;0;;;;;;;
48;3141;54.6;12.2;30.8;0.8;0.6;0;0;0;0;0;0;0.8;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.380670611;0.199600798;0;0;0;0;24.3570348;27.84992785;0;0;0;0;0;0;0;0;0;0;;;;;;;
48.5;3166;59.28143713;15.36926148;22.35528942;0.598802395;0.199600798;0;0;0.199600798;0;0;0;0.998003992;0;0;0;0;0.399201597;0;0;0;0.399201597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;2.529182879;0;0;0;0;0;22.68518519;27.28592163;0;0;0;0;0;0;0;0;0;0;;;;;;;
49;3193;54.18326693;14.14342629;29.08366534;0.796812749;0.398406375;0;0;0;0;0;0;0.398406375;0;0;0;0;0.597609562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.398406375;0;3.461538462;0.396825397;0;0;0;0;22.88786482;26.82215743;0;0;0;0;0;0;0;0;0;0;;;;;;;
49.5;3219;54.15019763;15.61264822;27.66798419;1.581027668;0.197628458;0;0.197628458;0;0;0;0;0;0;0;0;0;0.395256917;0;0;0;0;0;0;0;0.197628458;0;0;0;0;0;0;0;0;0;0;0;0;0.393700787;0;0;0;0;0;14.95798319;23.33333333;0;0.393700787;0;0;0;0;0;0;0;0;;;;;;;
50;3250;55.35714286;13.69047619;26.19047619;0.992063492;0.396825397;0;0;0.595238095;0;0;0.198412698;1.587301587;0;0;0;0;0.595238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.396825397;0;2.325581395;0.198019802;0;0;0;0;19.1011236;26.74418605;0;0.591715976;0;0;0;0;0;0;0;0;;;;;;;
