"Age" "BB" "FF" "FS" "TC" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
754 0.12304566828928 0.00384167544783416 1.57176256389283 9.77946666666667 55.3816047 3.522504892 35.81213307 1.369863014 0.195694716 0.195694716 0.391389432 0.782778865 0 1.761252446 0.776699029 2625.30210775 0.113745230152394
782.5 0.125372978306625 0.00380292851102597 1.60304850165402 10.2459166666667 58.01980198 5.544554455 30.2970297 0.594059406 1.188118812 0 0 2.772277228 0.198019802 0.396039604 1.750972763 3488.69330684 0.175840963892893
814 0.116606651795167 0.00375887629195341 1.63543083104448 10.7614666666667 56.01503759 13.72180451 26.12781955 1.127819549 0.37593985 0 1.315789474 0.187969925 0.187969925 0.939849624 1.84501845 6195.18106907 0.177195262818694
855 0.0870221127352628 0.00370059596471152 1.67294099979505 9.78509433962264 53.34572491 10.78066914 30.29739777 0.743494424 0.557620818 0 2.230483271 0.557620818 0.185873606 0.92936803 2.359346642 4654.27556797 0.120828739296797
909 0.0157090158741024 0.00362432175453174 1.71123725084657 9.2768464 56 14.66666667 24 1.333333333 0.761904762 0 1.333333333 0.761904762 0.571428571 0.380952381 1.869158879 4333.90102438 0.0705539173115117
963 -0.0929197772739159 0.00355125204046818 1.73250874722335 9.5354848 52.83018868 13.96226415 28.86792453 1.886792453 0 0 0.754716981 0.377358491 0.188679245 1.132075472 1.669758813 4569.17949197 0.0471068981662026
1016.5 -0.221436630004266 0.00348449844363363 1.73954252599697 9.72662930008357 64 9.714285714 24 0.380952381 0.19047619 0 0.952380952 0.571428571 0 0.19047619 3.846153846 6554.16539801 0.0687058046428949
1065 -0.349458983458375 0.00343062243111586 1.73363081516904 9.76757300032924 62.47619048 11.42857143 21.9047619 0.761904762 0.571428571 0 1.523809524 0.19047619 0.380952381 0.761904762 1.685393258 6452.35312022 0.0697777073335016
1116.5 -0.495377057078192 0.0033817840930146 1.71271319572477 10.2527937515823 55.40796964 14.80075901 26.18595825 0.948766603 0.569259962 0 0.759013283 0.569259962 0.189753321 0.569259962 1.495327103 6045.10400848 0.0603386402054125
1168 -0.649539386930905 0.00334270581551066 1.67549314438036 9.58138159999869 60.48237477 17.99628942 18.36734694 0.371057514 0 0 0.927643785 0.371057514 0.185528757 1.298701299 2.882882883 6291.23038772 0.0615996551424126
1217 -0.8019914086407 0.00331531974036536 1.62465246758547 9.57704900031601 60.60037523 13.8836773 22.13883677 1.125703565 0 0 0.750469043 0.375234522 0 0.938086304 0.559701493 6630.52460732 0.0479224649033771
