"Age" "BB" "FF" "FS" "TC" "LW" "MeanArea" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
1139.5 -0.630276408317115 0.00446138282857158 0.977977460323045 9.67049405823569 0.333333333333333 0.0946666666666667 62.13592233 12.81553398 23.10679612 0.194174757 0.388349515 0 0.388349515 0.194174757 0.194174757 0.194174757 0.579150579 2674.577333856 0.0720411541602126
1183 -0.602546237102839 0.00446205885458295 0.986129528555136 9.57892459998395 0 0.017 58.85826772 10.62992126 26.37795276 1.57480315 0.590551181 0 0.590551181 0.590551181 0.196850394 0.196850394 0.392156863 2458.54606898 0.067975084779408
1233.5 -0.568535876947131 0.00446921460580984 0.99376424670064 9.596799500158 0.5 0.12095 59.96055227 12.62327416 25.64102564 0.591715976 0.394477318 0 0.591715976 0 0.197238659 0 0.782778865 2446.1712601 0.0493252690661094
1281.5 -0.532656671553484 0.00448163956339319 0.999955327293405 9.65425549969836 0 0.0713 60.15779093 10.65088757 26.23274162 0.986193294 0.197238659 0.394477318 0.591715976 0.394477318 0 0 0.392927308 2951.99620809 0.0651530407268728
1331.5 -0.489679240480196 0.00449933048772173 1.00624964648791 9.62904480000727 0.5 0.0344 64.1025641 11.24260355 23.66863905 0 0 0 0.591715976 0.197238659 0 0 1.169590643 2410.2029406 0.0782143260135168
1376 -0.445040705484154 0.00451802361676587 1.01258181006841 10.1409956105134 1 0.0288 64.88095238 13.0952381 20.83333333 0.396825397 0.198412698 0 0.198412698 0.396825397 0 0 0.395256917 2618.836951 0.0862106115375333
1467 -0.328341951749056 0.00455991694047473 1.03132985451924 9.23060300001802 0 0.0344 62.62425447 11.53081511 25.64612326 0.198807157 0 0 0 0 0 0 0.592885375 2987.633989298 0.0648012925543763
1512.5 -0.237271116546188 0.00458012558310814 1.0502597119093 10.3163700534759 0 0.0261 64.87025948 10.77844311 22.15568862 0.798403194 0 0 0.998003992 0 0.199600798 0.199600798 0.988142292 2736.68461399 0.0734253455300874
1562 -0.109915355262436 0.00459952725792695 1.07967769306734 9.49614400267444 0.5 0.02345 58.92857143 12.5 27.18253968 0.396825397 0 0 0.198412698 0.198412698 0.198412698 0.198412698 0.395256917 2903.99919704 0.0551377519956081
1611 0.02825443077358 0.00461456978634526 1.11350540678626 9.15128199922582 1 0.0348 56.4612326 14.31411531 27.23658052 0.397614314 0.198807157 0 0.795228628 0 0.198807157 0.198807157 0.788954635 3168.79271097 0.0464801093294471
1659 0.15866049858016 0.00462393665202721 1.14705860154424 9.59184399749325 0.333333333333333 0.028 63.83399209 7.707509881 25.09881423 1.185770751 0.592885375 0 0.790513834 0.592885375 0 0 0.978473581 3395.13504719 0.0588514974062239
1703 0.259881631210733 0.00462688542091718 1.17474089067398 9.93800052588529 0 0.0231333333333333 62.74900398 13.94422311 22.50996016 0.199203187 0 0 0.398406375 0.199203187 0 0 0.396825397 3885.080006576 0.0632574844500405
1751 0.335574584639311 0.00462320662578572 1.19789221069691 9.7291996000184 0 0.0518666666666667 58.57988166 12.4260355 26.03550296 1.380670611 0.197238659 0 0.394477318 0.197238659 0 0.394477318 0.588235294 3593.69900631 0.067587927353214
1799 0.359514501075321 0.00461168705279049 1.20966051939336 10.2805831806673 0 0.03185 57.14285714 9.325396825 32.14285714 0.992063492 0 0 0.198412698 0 0 0 0.395256917 3570.67102222 0.0634254670949725
1842.5 0.364770571881307 0.00459421236887491 1.21873403117819 9.66372749865918 0.2 0.04074 62.94820717 9.760956175 26.09561753 0.199203187 0 0.199203187 0.398406375 0 0.199203187 0.199203187 0.986193294 3624.602939661 0.0588834928190235
1890 0.382317110602165 0.0045675446012029 1.23557498505335 9.42337400010134 0 0.0178 65.20874751 11.72962227 21.47117296 0.397614314 0.198807157 0 0.397614314 0.397614314 0 0.198807157 0.592885375 3767.67937111 0.0743510153477172
1986.5 0.453965180773804 0.00449017609563238 1.2925475176788 9.82244886363636 0 0.036 61.06719368 13.24110672 22.92490119 1.383399209 0.790513834 0 0.197628458 0.197628458 0 0 0.197238659 3194.39911675 0.0784475814563409
2034 0.505597505313536 0.00444220281820439 1.3317459946005 9.64026079807391 0 0.0389 59.64566929 13.38582677 22.63779528 2.362204724 0.590551181 0 0.787401575 0.196850394 0 0 0.78125 2988.74767045 0.0779318844255691
